tax_status,year,month,type,month_current,tax_rate
Taxable,2011,2,"Tax Determined, Premises Use",6036,$7/$18 per barrel
Tax Free,2011,2,For export,279150,$7/$18 per barrel
Tax Free,2011,2,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2011,2,Consumed on brewery premises,942,$7/$18 per barrel
Taxable,2011,3,In bottles and cans,14516040,$7/$18 per barrel
Taxable,2011,3,In barrels and kegs,1726446,$7/$18 per barrel
Taxable,2011,3,"Tax Determined, Premises Use",103125,$7/$18 per barrel
Tax Free,2011,3,For export,387393,$7/$18 per barrel
Tax Free,2011,3,For vessels and aircraft,2,$7/$18 per barrel
Tax Free,2011,3,Consumed on brewery premises,6185,$7/$18 per barrel
Taxable,2011,4,In bottles and cans,13385656,$7/$18 per barrel
Taxable,2011,4,In barrels and kegs,1429143,$7/$18 per barrel
Taxable,2011,4,"Tax Determined, Premises Use",6960,$7/$18 per barrel
Tax Free,2011,4,For export,376059,$7/$18 per barrel
Tax Free,2011,4,For vessels and aircraft,61,$7/$18 per barrel
Tax Free,2011,4,Consumed on brewery premises,1089,$7/$18 per barrel
Taxable,2011,5,In bottles and cans,14615283,$7/$18 per barrel
Taxable,2011,5,In barrels and kegs,1483857,$7/$18 per barrel
Taxable,2011,5,"Tax Determined, Premises Use",6589,$7/$18 per barrel
Tax Free,2011,5,For export,394035,$7/$18 per barrel
Tax Free,2011,5,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2011,5,Consumed on brewery premises,1458,$7/$18 per barrel
Taxable,2011,6,In bottles and cans,15726720,$7/$18 per barrel
Taxable,2011,6,In barrels and kegs,1718331,$7/$18 per barrel
Taxable,2011,6,"Tax Determined, Premises Use",106228,$7/$18 per barrel
Tax Free,2011,6,For export,391694,$7/$18 per barrel
Tax Free,2011,6,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2011,6,Consumed on brewery premises,6730,$7/$18 per barrel
Taxable,2011,7,In bottles and cans,13839549,$7/$18 per barrel
Taxable,2011,7,In barrels and kegs,1385067,$7/$18 per barrel
Taxable,2011,7,"Tax Determined, Premises Use",6825,$7/$18 per barrel
Tax Free,2011,7,For export,398726,$7/$18 per barrel
Tax Free,2011,7,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2011,7,Consumed on brewery premises,2145,$7/$18 per barrel
Taxable,2011,8,In bottles and cans,14643159,$7/$18 per barrel
Taxable,2011,8,In barrels and kegs,1567155,$7/$18 per barrel
Taxable,2011,8,"Tax Determined, Premises Use",7887,$7/$18 per barrel
Tax Free,2011,8,For export,367166,$7/$18 per barrel
Tax Free,2011,8,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2011,8,Consumed on brewery premises,1591,$7/$18 per barrel
Taxable,2011,9,In bottles and cans,13774050,$7/$18 per barrel
Taxable,2011,9,In barrels and kegs,1624151,$7/$18 per barrel
Taxable,2011,9,"Tax Determined, Premises Use",117859,$7/$18 per barrel
Tax Free,2011,9,For export,342365,$7/$18 per barrel
Tax Free,2011,9,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2011,9,Consumed on brewery premises,10042,$7/$18 per barrel
Taxable,2011,10,In bottles and cans,12236621,$7/$18 per barrel
Taxable,2011,10,In barrels and kegs,1369396,$7/$18 per barrel
Taxable,2011,10,"Tax Determined, Premises Use",7509,$7/$18 per barrel
Tax Free,2011,10,For export,414196,$7/$18 per barrel
Tax Free,2011,10,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2011,10,Consumed on brewery premises,1142,$7/$18 per barrel
Taxable,2011,11,In bottles and cans,11878883,$7/$18 per barrel
Taxable,2011,11,In barrels and kegs,1332015,$7/$18 per barrel
Taxable,2011,11,"Tax Determined, Premises Use",7336,$7/$18 per barrel
Tax Free,2011,11,For export,417101,$7/$18 per barrel
Tax Free,2011,11,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2011,11,Consumed on brewery premises,1029,$7/$18 per barrel
Taxable,2011,12,In bottles and cans,11741836,$7/$18 per barrel
Taxable,2011,12,In barrels and kegs,1463063,$7/$18 per barrel
Taxable,2011,12,"Tax Determined, Premises Use",108521,$7/$18 per barrel
Tax Free,2011,12,For export,385447,$7/$18 per barrel
Tax Free,2011,12,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2011,12,Consumed on brewery premises,6137,$7/$18 per barrel
Taxable,2012,1,In bottles and cans,11955351,$7/$18 per barrel
Taxable,2012,1,In barrels and kegs,1349271,$7/$18 per barrel
